,PC1,PC2,PC3,PC4,PC5,PC6,PC7
tdry,0.4832819568179942,-0.008150469268325529,0.17101023489402126,0.03087234275263084,0.2971349155992398,0.7600979615803259,-0.2648328695849479
rh,-0.3757202799602779,0.47649259729362375,-0.1945218271392828,0.31885079856442133,0.7016290509022155,0.0001594898683392465,-0.0010735293240969057
pres,-0.22691450675724253,-0.30347313979496665,0.7366559650508034,0.555943341949066,0.03621315578289763,-0.054813544981725776,0.019050784195272556
wspd,0.15091706700850135,-0.5450338040641136,-0.6032822324346925,0.5616059525680088,0.028486628707856274,-3.8549536750812463e-05,-6.229397672306853e-05
theta,0.48694775452406636,0.013457482120772852,0.11485453277681554,-0.008988878335005708,0.28880731449980335,-0.16971069503496317,0.7982587500228217
theta_v,0.4868389098619988,0.03781972034021169,0.11119473178924623,0.012049895383007927,0.25968395662306626,-0.6243615389195961,-0.5401712576876779
specific_humidity,0.27726598629792043,0.6181578644277094,-0.02737632982169841,0.5221884921922486,-0.5161968751929765,0.024849263039133887,0.022303426716826003
