,high_nocturnal_PC1,low_nocturnal_PC1
tdry,0.7071067811865475,-0.7071067811865475
rh,-0.7071067811865476,0.7071067811865476
pres,-0.7071067811865408,0.7071067811865542
wspd,0.7071067811865477,-0.7071067811865475
theta,0.707106781186546,-0.7071067811865491
specific_humidity,0.7071067811865478,-0.7071067811865475
stability_proxy,0.7071067811865475,-0.7071067811865475
