,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
tdry,0.43261461411005175,-0.001086044811533534,0.16279473465991137,0.011102275007830373,0.23577150319961257,0.7957595145192631,0.3120843209018988,-1.2519828953774407e-10
rh,-0.31758339987791706,-0.4996787374595379,-0.16858509889342643,0.4027830014636684,0.6773509858361659,-0.0004431000317446365,0.0015189683908990725,-4.085997176447362e-13
pres,-0.21816959535686997,0.22475700522248826,0.8563509112967901,0.4032267767030756,0.03688466118344598,-0.06315327083716624,-0.024673582796041097,9.90990350377925e-12
wspd,0.13507359753099682,0.6127165498756639,-0.43218551880010714,0.6473235476766979,0.02283527259296318,-5.799720167035662e-06,7.08039622041787e-05,-1.976616475431192e-14
theta,0.43571381363919126,-0.018345663470921075,0.09183053175642757,-0.020184990856852488,0.2266061779891707,-0.1337519812117724,-0.4813903574363158,0.7071067813305473
theta_v,0.43548570738778963,-0.043023093656794444,0.08959402495284237,0.0028478716279636096,0.19119265448836634,-0.5712554453377887,0.6614972391739152,-1.6395667000697652e-10
specific_humidity,0.277131150470654,-0.5673258187542783,0.007934130459910765,0.5051732438578663,-0.5869158043746324,0.02581267638473364,-0.030664774427676907,7.624512931293544e-12
stability_proxy,0.4357138136391913,-0.018345663470921047,0.09183053175642793,-0.020184990856852377,0.22660617798918514,-0.13375198127529317,-0.48139035784169776,-0.7071067810425478
