,high_PC1,low_PC1
tdry,0.7071067811865477,-0.7071067811865476
rh,-0.7071067811865475,0.7071067811865477
pres,-0.7071067811865475,0.7071067811865475
wspd,0.7071067811865476,-0.7071067811865476
theta,0.7071067811865475,-0.7071067811865475
specific_humidity,0.7071067811865476,-0.7071067811865475
